POLE1,POLE2
2303,1122
2303,1133
2303,1187
2303,1196
2303,1223
2304,1086
2304,1090
2304,1108
2304,1168
2304,1191
2305,1684
2305,1687
2306,1663
2306,1676
2306,1688
2307,1654
2307,1658
2307,1681
2308,1659
2308,1701
2309,1664
2309,1670
2310,1656
2310,1686
2311,1673
2311,1692
2312,1665
2312,1683
2313,1678
2313,1685
2313,1697
2314,1824
2314,1827
2314,1844
2315,1815
2315,1818
2315,1830
2315,1834
2316,1816
2316,1845
2317,1819
2317,1840
2317,1841
2318,1825
2318,1835
2318,1839
2319,1741
2319,1752
2319,1761
2320,1737
2320,1772
2320,1773
2321,1739
2321,1770
2321,1780
2322,1726
2322,1731
